"id","name","full_name","owner_id","html_url","description","homepage","language","stargazers_count","watchers_count","forks_count","open_issues_count","score","license_key","license_name","readme_size","readme_has_images","readme_has_icons","year"
738373749,"-256750134426-Death-spells-caster-Revenge-Spell-in-USA-Georgia-Wyoming-Wisconsin-Alaska","deathspells/-256750134426-Death-spells-caster-Revenge-Spell-in-USA-Georgia-Wyoming-Wisconsin-Alaska",149131451,"https://github.com/deathspells/-256750134426-Death-spells-caster-Revenge-Spell-in-USA-Georgia-Wyoming-Wisconsin-Alaska"," +256750134426  Death spells caster / Revenge Spell in USA Georgia Wyoming Wisconsin Alaska West Virginia Arizona Washington Arkansas California New York Colorado Texas Connecticut Michigan Delaware Indiana Minnesota Kansas Kentucky.",NULL,NULL,0,0,0,0,1,NULL,NULL,NULL,0,0,2024
727227816,"-256750134426-STRONGEST-ONLINE-DEATH-SPELLS-CASTER-IN-UK-USA.","deathspells/-256750134426-STRONGEST-ONLINE-DEATH-SPELLS-CASTER-IN-UK-USA.",149131451,"https://github.com/deathspells/-256750134426-STRONGEST-ONLINE-DEATH-SPELLS-CASTER-IN-UK-USA.","(( +256750134426 )) STRONGEST ONLINE DEATH SPELLS CASTER IN UK, USA, NETHERLANDS, AUSTRALIA, NEW ZEALAND, MALMO, TEXAS, UTAH, VIRGINIA, WASHINGTON, WEST VIRGINIA, WISCONSIN, WYOMING, ALABAMA, WITH GUARANTEED RESULTS IN ONLY 4 DAYS.",NULL,NULL,0,0,0,0,1,NULL,NULL,NULL,0,0,2023
494626241,"-datasets-do-Sklearn","joaosarruf/-datasets-do-Sklearn",48034139,"https://github.com/joaosarruf/-datasets-do-Sklearn","Analise do Breast cancer wisconsin um famoso dataset do Sklearn",NULL,"Python",0,0,0,0,1,NULL,NULL,NULL,0,0,2022
71184030,"-location-Wisconsin-language-C-","rvidas/-location-Wisconsin-language-C-",22897179,"https://github.com/rvidas/-location-Wisconsin-language-C-","C# Developers in WI",NULL,NULL,0,0,0,0,1,NULL,NULL,NULL,0,0,2016
298782280,"-NEAT-","yangyuqing15715165798/-NEAT-",26336908,"https://github.com/yangyuqing15715165798/-NEAT-","batch3--Breast Cancer Wisconsin (Diagnostic) Data Set ",NULL,NULL,5,5,0,0,1,NULL,NULL,579,0,0,2020
498903316,"-REDE-MLP-","bielT/-REDE-MLP-",81391691,"https://github.com/bielT/-REDE-MLP-","Modelo de clasificao do dataset  https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+(Diagnostic) , usando Redes Neurais MULTILAYER PERCEPTRON, ",NULL,"Jupyter Notebook",0,0,0,0,1,NULL,NULL,172,0,0,2022
675482388,"-WBC_Machine-Learning-Project","Kosonora/-WBC_Machine-Learning-Project",141600437,"https://github.com/Kosonora/-WBC_Machine-Learning-Project","This is a Wisconsin breast cancer machine learning project",NULL,"Python",0,0,0,0,1,"gpl-3.0","GNU General Public License v3.0",92,0,0,2023
74697469,"2016-trump-shift","svmiller/2016-trump-shift",4589542,"https://github.com/svmiller/2016-trump-shift","Wisconsin county election results for 2012 and 2016.",NULL,"R",0,0,0,0,1,NULL,NULL,1546,0,0,2016
181192273,"2019-04-15-UW","munkm/2019-04-15-UW",6745434,"https://github.com/munkm/2019-04-15-UW","Invited talk, University of Wisconsin, Madison ",NULL,"JavaScript",0,0,0,13,1,"other","Other",1931,1,0,2019
309797616,"2020-11-17-uwm-online","tadamus/2020-11-17-uwm-online",8195123,"https://github.com/tadamus/2020-11-17-uwm-online","University of Wisconsin - Milwaukee Library Carpentry workshop taught virtually on November 17-18, 2020.","https://tadamus.github.io/2020-11-17-uwm-online/","HTML",0,0,1,0,1,"other","Other",10450,1,1,2020
