"id","name","full_name","owner_id","html_url","description","homepage","language","stargazers_count","watchers_count","forks_count","open_issues_count","score","license_key","license_name","readme_size","readme_has_images","readme_has_icons","year"
309797616,"2020-11-17-uwm-online","tadamus/2020-11-17-uwm-online",8195123,"https://github.com/tadamus/2020-11-17-uwm-online","University of Wisconsin - Milwaukee Library Carpentry workshop taught virtually on November 17-18, 2020.","https://tadamus.github.io/2020-11-17-uwm-online/","HTML",0,0,1,0,1,"other","Other",10450,1,1,2020
627091840,"2023-04-18-utah-online","PhilReedData/2023-04-18-utah-online",25770348,"https://github.com/PhilReedData/2023-04-18-utah-online","Library Carpentry @ University of Utah and Advocate Health Wisconsin: April 18-20, 2023","https://philreeddata.github.io/2023-04-18-utah-online/","HTML",0,0,1,0,1,"other","Other",10897,1,1,2023
22534086,"A-Narrative-of-Service-with-the-Third-Wisconsin-Infantry_37754","GITenberg/A-Narrative-of-Service-with-the-Third-Wisconsin-Infantry_37754",1957667,"https://github.com/GITenberg/A-Narrative-of-Service-with-the-Third-Wisconsin-Infantry_37754","A Narrative of Service with the Third Wisconsin Infantry by Hinkley, Julian Wisner
 is a Project Gutenberg book, now on Github.","https://www.GITenberg.org/","HTML",0,0,0,0,1,"other","Other",NULL,0,0,2014
57077840,"a3-davidjuliancaldwell-shirleyswirley-jamesbrains","CSE512-16S/a3-davidjuliancaldwell-shirleyswirley-jamesbrains",17887297,"https://github.com/CSE512-16S/a3-davidjuliancaldwell-shirleyswirley-jamesbrains","Visualization of prognostic outcome with cellular features for the Wisconsin Breast Cancer prognosis dataset.","https://cse512-16s.github.io/a3-davidjuliancaldwell-shirleyswirley-jamesbrains/","JavaScript",0,0,0,0,1,NULL,NULL,9198,1,0,2016
155903349,"abhayk1201.github.io","abhayk1201/abhayk1201.github.io",17141362,"https://github.com/abhayk1201/abhayk1201.github.io","Personal homepage: http://pages.cs.wisc.edu/~abhayk/     OR                ","https://abhayk1201.github.io/","HTML",0,0,0,0,1,NULL,NULL,642,0,0,2018
708281967,"acculynxEXT","ridgetopexteriors/acculynxEXT",148669151,"https://github.com/ridgetopexteriors/acculynxEXT","Created by Ridge Top Exteriors (Wisconsin Rapids Office): Automatically schedule follow-up calls in AccuLynx for optimized time management and profitability. The calendar will intelligently schedule follow-ups based on profitability and resource availability.","https://www.ridgetopexteriors.com/","JavaScript",0,0,0,0,1,NULL,NULL,5832,0,0,2023
731802896,"ada-2023-wi","Coleridge-Initiative/ada-2023-wi",37301016,"https://github.com/Coleridge-Initiative/ada-2023-wi","Wisconsin ADA 2023 training class focused on unemployment to reemployment transitions ","https://coleridge-initiative.github.io/ada-2023-wi/","TeX",0,0,0,0,1,NULL,NULL,1367,0,0,2023
324314398,"badgerhacks.github.io","badgerhacks/badgerhacks.github.io",76580055,"https://github.com/badgerhacks/badgerhacks.github.io","Website for BadgerHacks hackathon. ","https://badgerhacks.github.io/","JavaScript",0,0,0,0,1,NULL,NULL,595,0,0,2020
55796613,"beer-near","datahub/beer-near",3492801,"https://github.com/datahub/beer-near","List of Wisconsin breweries","http://projects.jsonline.com/apps/BeerNear/","JavaScript",1,1,0,21,1,NULL,NULL,1258,0,0,2016
14215710,"bertblog","bertspaan/bertblog",1194896,"https://github.com/bertspaan/bertblog","Rencarnatie van `t fotoblog dat ik bijhield tijdens m`n verblijf in Madison, Wisconsin","http://bertspaan.nl/bertblog","CSS",0,0,0,0,1,NULL,NULL,NULL,0,0,2013
130440861,"better-by-design","kedarjoyner/better-by-design",12139428,"https://github.com/kedarjoyner/better-by-design","Better By Design conference Wordpress theme created by Dirigible Studio in Madison Wisconsin in collaboration with Kedar Joyner.","http://dirigiblestudio.com/","PHP",0,0,0,0,1,NULL,NULL,NULL,0,0,2018
188107439,"better-know-wisconsin","chriscarlsondev/better-know-wisconsin",49646269,"https://github.com/chriscarlsondev/better-know-wisconsin","A quiz app built using HTML5, CSS, Javascript and JQuery","https://chriscarlsondev.github.io/better-know-wisconsin/","JavaScript",0,0,0,0,1,NULL,NULL,NULL,0,0,2019
130158065,"BoardSchedule","lzyplayer/BoardSchedule",20348451,"https://github.com/lzyplayer/BoardSchedule","A homework of University of Wisconsin-madison","http://cs300-www.cs.wisc.edu/wp/index.php/2018/04/10/p09-boarding-scheduler/","Java",0,0,0,0,1,NULL,NULL,62,0,0,2018
258392038,"BoatLG","KurtzweilJames/BoatLG",16965662,"https://github.com/KurtzweilJames/BoatLG","Resources for boating on Geneva Lake, Wisconsin.","https://boatlg.com","HTML",0,0,0,1,1,NULL,NULL,433,0,1,2020
84489308,"BordnerCoastal","WIStCart/BordnerCoastal",8579949,"https://github.com/WIStCart/BordnerCoastal","Collaborative project between Forest Landscape and Ecology Lab (FLEL) and State Cartographer`s Office (SCO). Web-based mapping application featuring point, line, and polygon data digitized from the Wisconsin Land Economic Inventory (a.k.a. ""Bordner"" survey maps) for Wisconsin`s coastal counties. ","https://maps.sco.wisc.edu/BordnerCoastal/","JavaScript",0,0,2,12,1,NULL,NULL,11191,0,0,2017
252146,"Brainmap","brainmap/Brainmap",105366,"https://github.com/brainmap/Brainmap","Public website for the Wisconsin ADRC Imaging Core Laboratory","http://brainmap.wisc.edu","Ruby",6,6,2,4,1,NULL,NULL,NULL,0,0,2009
691285062,"campus-map","UW-Madison-DSI/campus-map",62457943,"https://github.com/UW-Madison-DSI/campus-map","This is an interactive web-based mapping application that allows exploration of the campus at the University of Wisconsin-Madison.","http://maps.datascience.wisc.edu","JavaScript",0,0,0,0,1,"mit","MIT License",924,1,1,2023
29434477,"cenwidev-gameloop","gheeres/cenwidev-gameloop",1309506,"https://github.com/gheeres/cenwidev-gameloop","Central Wisconsin Developers Group - Intro To Game Development (Part 1) - The Game Loop: Example code from presentation.","http://blog.heeresonline.com/2015/01/intro-to-game-development-part-1-the-game-loop/","Java",6,6,2,0,1,NULL,NULL,558,0,0,2015
365373989,"code-and-power-final-project","arielrezinn/code-and-power-final-project",44247064,"https://github.com/arielrezinn/code-and-power-final-project","This is a final project for LIS 500: Code and Power at the University of Wisconsin-Madison","http://codeandpower.infinityfreeapp.com/","PHP",0,0,2,0,1,NULL,NULL,NULL,0,0,2021
553802020,"community-map","UW-Madison-DSI/community-map",62457943,"https://github.com/UW-Madison-DSI/community-map","The Community Map is a an interactive web-based map that allows exploration of the community of faculty, staff, and students at the University of Wisconsin-Madison.","https://maps.datascience.wisc.edu","JavaScript",0,0,0,1,1,"mit","MIT License",1653,1,1,2022
188076899,"Computer-Graphic-Course-Project","usraptor2016/Computer-Graphic-Course-Project",29090076,"https://github.com/usraptor2016/Computer-Graphic-Course-Project","This project was created for the Computer Graphics class at the University of Wisconsin in Spring of 2019 and uses the class software framework","http://graphics.cs.wisc.edu/WP/cs559-sp2019/","HTML",0,0,0,0,1,NULL,NULL,178,0,0,2019
355445263,"Course-Management-System","aarunishsinha/Course-Management-System",58175652,"https://github.com/aarunishsinha/Course-Management-System","A Course Management System for The University of Wisconsin Madison. Done as a project in the COL362: Introductio to DBMS course at IIT Delhi","https://drive.google.com/file/d/1mJKFb27aCpLbkgED3ENUNf29iWzZXxPC/view?usp=sharing","Python",2,2,1,0,1,"mit","MIT License",8406,1,0,2021
273574365,"covid-wisconsin","mattbayer/covid-wisconsin",67168398,"https://github.com/mattbayer/covid-wisconsin","Analysis and visualization of Covid data in Wisconsin.","https://covid-wisconsin.com","HTML",1,1,0,0,1,NULL,NULL,229,0,0,2020
514304307,"Covid19Wastewater","UW-Madison-DSI/Covid19Wastewater",62457943,"https://github.com/UW-Madison-DSI/Covid19Wastewater","Covid19Wastewater is intended to make the process of analyzing epidemiological wastewater data easier and more insightful. It includes tools for preparing, analyzing, and visualizing data. It additionally includes Wisconsin`s Covid19 data.","https://github.com/UW-Madison-DSI/Covid19Wastewater","R",3,3,0,0,1,"other","Other",3693,0,1,2022
