"id","name","full_name","owner_id","html_url","description","homepage","language","stargazers_count","watchers_count","forks_count","open_issues_count","score","license_key","license_name","readme_size","readme_has_images","readme_has_icons","year"
181192273,"2019-04-15-UW","munkm/2019-04-15-UW",6745434,"https://github.com/munkm/2019-04-15-UW","Invited talk, University of Wisconsin, Madison ",NULL,"JavaScript",0,0,0,13,1,"other","Other",1931,1,0,2019
309797616,"2020-11-17-uwm-online","tadamus/2020-11-17-uwm-online",8195123,"https://github.com/tadamus/2020-11-17-uwm-online","University of Wisconsin - Milwaukee Library Carpentry workshop taught virtually on November 17-18, 2020.","https://tadamus.github.io/2020-11-17-uwm-online/","HTML",0,0,1,0,1,"other","Other",10450,1,1,2020
358310329,"2021_cranberry-ionomics","essicolo/2021_cranberry-ionomics",5118227,"https://github.com/essicolo/2021_cranberry-ionomics","Orange canvas for Nutrient diagnosis of cranberry (Vaccinium macrocarpon Ait.) in Quebec and Wisconsin: impact of cultivars, local factors and carryover effects on plant nutrient status and yield prediction",NULL,NULL,0,0,0,0,1,"cc-by-4.0","Creative Commons Attribution 4.0 International",606,1,0,2021
627091840,"2023-04-18-utah-online","PhilReedData/2023-04-18-utah-online",25770348,"https://github.com/PhilReedData/2023-04-18-utah-online","Library Carpentry @ University of Utah and Advocate Health Wisconsin: April 18-20, 2023","https://philreeddata.github.io/2023-04-18-utah-online/","HTML",0,0,1,0,1,"other","Other",10897,1,1,2023
334847141,"487-DBImplementation","MinjinEn/487-DBImplementation",7389991,"https://github.com/MinjinEn/487-DBImplementation","Data is generated based on the Wisconsin Benchmark",NULL,"Python",0,0,1,0,1,NULL,NULL,4536,1,0,2021
144624997,"7-eleven-wisconsin","lauraschultz/7-eleven-wisconsin",7410544,"https://github.com/lauraschultz/7-eleven-wisconsin","Calculate most efficient route between all 16 of Wisconsin`s 7-Eleven locations",NULL,"Jupyter Notebook",0,0,0,0,1,NULL,NULL,250,1,0,2018
57077840,"a3-davidjuliancaldwell-shirleyswirley-jamesbrains","CSE512-16S/a3-davidjuliancaldwell-shirleyswirley-jamesbrains",17887297,"https://github.com/CSE512-16S/a3-davidjuliancaldwell-shirleyswirley-jamesbrains","Visualization of prognostic outcome with cellular features for the Wisconsin Breast Cancer prognosis dataset.","https://cse512-16s.github.io/a3-davidjuliancaldwell-shirleyswirley-jamesbrains/","JavaScript",0,0,0,0,1,NULL,NULL,9198,1,0,2016
463931853,"Adverse-Weather-Object-Tracking","jonvanveen/Adverse-Weather-Object-Tracking",56141068,"https://github.com/jonvanveen/Adverse-Weather-Object-Tracking","By Jon Van Veen, Han Wang, and Danica Fliss for the course CS 766: Computer Vision at University of Wisconsin-Madison",NULL,"Python",0,0,0,0,1,NULL,NULL,5908,1,0,2022
662798072,"ALP","shiueo-storage/ALP",126125971,"https://github.com/shiueo-storage/ALP","Wisconsin-Madison Accelerated Learning Program",NULL,"Python",0,0,0,0,1,"mit","MIT License",1394,1,0,2023
33887048,"BadRiverGroundwater","USGS-WiM/BadRiverGroundwater",8713649,"https://github.com/USGS-WiM/BadRiverGroundwater","3 map applications to support groundwater modeling in the Bad River watershed, northern Wisconsin",NULL,"JavaScript",1,1,4,0,1,"other","Other",3347,1,0,2015
316076172,"benfords_election","michaelrinderle/benfords_election",11905488,"https://github.com/michaelrinderle/benfords_election","Applying Benford`s Law To Wisconsin Open Elections Data",NULL,"C#",0,0,0,0,1,NULL,NULL,1392,1,0,2020
538193600,"Bioinformatics-in-Microbial-Science","RaphaelMantovani/Bioinformatics-in-Microbial-Science",91127693,"https://github.com/RaphaelMantovani/Bioinformatics-in-Microbial-Science"," Here are some of the analyses I did for the Suen Lab at the University of Wisconsin. This study intends to analyze correlation between cow genes and their milk production efficiency. With the R code above I separated cows in high, mid, and low effiency based on their RFI and the standard deviations they are from the line of regression. I also cleaned the data and plotted the diversity we had in our data.",NULL,"R",0,0,0,1,1,NULL,NULL,1059,1,0,2022
525534944,"BuckyTheBadgerBot","rittvic/BuckyTheBadgerBot",109328940,"https://github.com/rittvic/BuckyTheBadgerBot","A Discord bot to search for courses, professors and other information at University of Wisconsin-Madison (UW-Madison).",NULL,"Java",1,1,0,0,1,"mit","MIT License",5937,1,0,2022
691285062,"campus-map","UW-Madison-DSI/campus-map",62457943,"https://github.com/UW-Madison-DSI/campus-map","This is an interactive web-based mapping application that allows exploration of the campus at the University of Wisconsin-Madison.","http://maps.datascience.wisc.edu","JavaScript",0,0,0,0,1,"mit","MIT License",924,1,1,2023
363755373,"cancer-detection","pedrohortencio/cancer-detection",50333977,"https://github.com/pedrohortencio/cancer-detection",":microscope: Deteco Histopatolgica de Cncer a partir de imagens disponibilizadas pelos datasets PatchCamelyon (PCam) e Breast Cancer Histopathological Dataset (BreakHis) e a partir de dados tabulares (Breast Cancer Wisconsin Diagnostic Dataset).",NULL,"Jupyter Notebook",1,1,1,0,1,NULL,NULL,2007,1,0,2021
525364756,"cancer-machine-learning","Jake-Funk/cancer-machine-learning",93415355,"https://github.com/Jake-Funk/cancer-machine-learning","this repo contains python scripts for training ML models and creating data visualizations pertaining to the UCI Wisconsin Breast Cancer Diagnosis dataset",NULL,"Python",2,2,0,0,1,"gpl-3.0","GNU General Public License v3.0",2280,1,0,2022
278688924,"Cancer-Prediction","leafyishere29/Cancer-Prediction",58006916,"https://github.com/leafyishere29/Cancer-Prediction","This project consists of the analysis and use of Breast Cancer Wisconsin (Diagnostic) Data Set to predict the type of tumour in patients.",NULL,"MATLAB",0,0,0,0,1,NULL,NULL,1502,1,0,2020
254598579,"cancerWisconsin","MicaTeo/cancerWisconsin",36864965,"https://github.com/MicaTeo/cancerWisconsin","Deep Learning Model on Breast Cancer Data using TensorFlow.",NULL,"Jupyter Notebook",0,0,1,0,1,NULL,NULL,1311,1,0,2020
252623363,"cancer_wisconsin","LorisMarini/cancer_wisconsin",18545132,"https://github.com/LorisMarini/cancer_wisconsin","Linear classification models to predict malignant cancer cells from their geometric attributes",NULL,"Jupyter Notebook",0,0,0,0,1,NULL,NULL,1990,1,0,2020
399326195,"Causal_Inference","Kibika/Causal_Inference",12167288,"https://github.com/Kibika/Causal_Inference","This project uses conditional probabilities obtained from the relationships of a causal graph to predict cancer diagnosis using the Wisconsin Breast Cancer Data.",NULL,"Jupyter Notebook",1,1,0,0,1,NULL,NULL,2165,1,0,2021
172801415,"CogBeacon-MultiModal_Dataset_for_Cognitive_Fatigue","MikeMpapa/CogBeacon-MultiModal_Dataset_for_Cognitive_Fatigue",12614646,"https://github.com/MikeMpapa/CogBeacon-MultiModal_Dataset_for_Cognitive_Fatigue","CogBeacon is a multi-modal dataset designed to target the effects of cognitive fatigue in human performance. The dataset consists of 76 sessions collected from 19 male and female users performing different versions of the Wisconsin Card Sorting Test (WCST); a popular cognitive test in experimental and clinical psychology designed to assess cognitive flexibility, reasoning and specific aspects of cognitive functioning. During each session we record and fully annotate, user`s EEG functionality, facial keypoints, real-time self-reports on cognitive fatigue, as well as detailed information of the performance metrics achieved during the cognitive task (success rate, response time, number of errors etc.). Along with the dataset we provide a baseline Machine Learning analysis towards predicting cognitive fatigue and our multi-modal implementation of the WCST, to allow other researches expand or modify the functionalities of the CogBeacon data-collection framework. To our knowledge, this is the first multi-modal dataset specifically designed to assess cognitive fatigue.",NULL,NULL,12,12,5,0,1,"mit","MIT License",12325,1,0,2019
162393838,"command-line-interpreter","amanchadha/command-line-interpreter",20895241,"https://github.com/amanchadha/command-line-interpreter","Unix Shell in C | Support for built-in commands, output redirection, parallel mode, batch mode, consecutive commands etc.",NULL,"Shell",19,19,9,0,1,NULL,NULL,19323,1,0,2018
553802020,"community-map","UW-Madison-DSI/community-map",62457943,"https://github.com/UW-Madison-DSI/community-map","The Community Map is a an interactive web-based map that allows exploration of the community of faculty, staff, and students at the University of Wisconsin-Madison.","https://maps.datascience.wisc.edu","JavaScript",0,0,0,1,1,"mit","MIT License",1653,1,1,2022
355445263,"Course-Management-System","aarunishsinha/Course-Management-System",58175652,"https://github.com/aarunishsinha/Course-Management-System","A Course Management System for The University of Wisconsin Madison. Done as a project in the COL362: Introductio to DBMS course at IIT Delhi","https://drive.google.com/file/d/1mJKFb27aCpLbkgED3ENUNf29iWzZXxPC/view?usp=sharing","Python",2,2,1,0,1,"mit","MIT License",8406,1,0,2021
349802583,"Course_Management_System","JaiJaveria/Course_Management_System",46412543,"https://github.com/JaiJaveria/Course_Management_System","A Course Management System for The University of Wisconsin Madison.",NULL,"Python",0,0,0,0,1,NULL,NULL,8411,1,0,2021
516515334,"Covid19-Wastewater-Analysis","UW-Madison-DSI/Covid19-Wastewater-Analysis",62457943,"https://github.com/UW-Madison-DSI/Covid19-Wastewater-Analysis","Analysis of Wisconsin`s covid19 wastewater data. Mostly made from our R package Covid19Wastewater https://github.com/UW-Madison-DSI/Covid19Wastewater",NULL,"HTML",6,6,0,0,1,"other","Other",3152,1,1,2022
742912629,"cow-posture-analysis","mleblan67/cow-posture-analysis",54590417,"https://github.com/mleblan67/cow-posture-analysis","Cow movement dataset project with the Wisconsin Embedded Systems and Computing Lab at the University of WisconsinMadison",NULL,"Jupyter Notebook",0,0,0,0,1,NULL,NULL,5818,1,0,2024
318327232,"Credential-Manager","Ed-Fi-Exchange-OSS/Credential-Manager",64287896,"https://github.com/Ed-Fi-Exchange-OSS/Credential-Manager","This is a stripped down version of the application which the Wisconsin Department of Public Instruction uses to manage credentials for its statewide Ed-Fi implementation.",NULL,"JavaScript",1,1,0,0,1,"apache-2.0","Apache License 2.0",4055,1,0,2020
122649579,"cwitc-website","CenWIDev/cwitc-website",12644252,"https://github.com/CenWIDev/cwitc-website","The site for the Central Wisconsin IT Conference","http://cwitc.org/","TypeScript",3,3,3,18,1,"mit","MIT License",5412,1,0,2018
147370871,"DashboardDesign","Helios-UWMadison/DashboardDesign",42970742,"https://github.com/Helios-UWMadison/DashboardDesign","Energy dashboard created by the Helios student organization for the University of Wisconsin - Madison","http://www.helios-uw.com/index.html","HTML",1,1,1,0,1,NULL,NULL,989,1,0,2018
426466122,"Data-Analytics-Portfolio","Marth9/Data-Analytics-Portfolio",94029241,"https://github.com/Marth9/Data-Analytics-Portfolio","This repository contains projects from the Data Science and Analytics program offered at University of Wisconsin- Madison.",NULL,"Jupyter Notebook",0,0,0,0,1,NULL,NULL,324,1,0,2021
457859353,"data-science-analytics-projects","anerenhausen/data-science-analytics-projects",92945171,"https://github.com/anerenhausen/data-science-analytics-projects","Projects completed while enrolled in the University of Wisconsin-Madison Data Science & Analytics Certificate",NULL,"Jupyter Notebook",0,0,0,0,1,NULL,NULL,371,1,0,2022
711626872,"Decision-Tree-Implementation","ammahmoudi/Decision-Tree-Implementation",95019899,"https://github.com/ammahmoudi/Decision-Tree-Implementation","Implementing Decision Tree Classifer from scrath and then train it on breast cancer dataset from the University of Wisconsin Hospitals",NULL,"Jupyter Notebook",0,0,0,0,1,NULL,NULL,916,1,0,2023
365373916,"DiceGame","Xander-Corp/DiceGame",117787766,"https://github.com/Xander-Corp/DiceGame","Code to Simulate and Analyze the Wisconsin Dice Game",NULL,"Python",0,0,0,0,1,NULL,NULL,83687,1,0,2021
186892488,"ecclesia","sandroclark/ecclesia",46388547,"https://github.com/sandroclark/ecclesia","Generating new Congressional districts in Wisconsin",NULL,"Jupyter Notebook",0,0,0,0,1,"gpl-3.0","GNU General Public License v3.0",2372,1,0,2019
487182493,"Embedded-T-Rex-Runner","kx-Huang/Embedded-T-Rex-Runner",72541528,"https://github.com/kx-Huang/Embedded-T-Rex-Runner","Google Chrome`s T-rex Runner Game but an Embedded Version. CS/ECE353 project @University of Wisconsin-Madison",NULL,"C",3,3,0,0,1,"mit","MIT License",2438,1,0,2022
574886404,"Everybody-Knows-Your-Name","Votiaw09/Everybody-Knows-Your-Name",116119507,"https://github.com/Votiaw09/Everybody-Knows-Your-Name","An analysis of iconography of LGBT bars in Northeast Wisconsin.",NULL,NULL,0,0,0,0,1,NULL,NULL,13076,1,1,2022
287958706,"Exploratory-Data-Analysis-with-Seaborn","Hevenicio/Exploratory-Data-Analysis-with-Seaborn",65929471,"https://github.com/Hevenicio/Exploratory-Data-Analysis-with-Seaborn","Using the statistical data visualization library, Seaborn, to discover and explore the relationships in the Wisconsin breast cancer data set (diagnosis). [Project done on Coursera Project Network]",NULL,"Jupyter Notebook",1,1,0,0,1,"mit","MIT License",1117,1,0,2020
