"id","name","full_name","owner_id","html_url","description","homepage","language","stargazers_count","watchers_count","forks_count","open_issues_count","score","license_key","license_name","readme_size","readme_has_images","readme_has_icons","year"
298782280,"-NEAT-","yangyuqing15715165798/-NEAT-",26336908,"https://github.com/yangyuqing15715165798/-NEAT-","batch3--Breast Cancer Wisconsin (Diagnostic) Data Set ",NULL,NULL,5,5,0,0,1,NULL,NULL,579,0,0,2020
498903316,"-REDE-MLP-","bielT/-REDE-MLP-",81391691,"https://github.com/bielT/-REDE-MLP-","Modelo de clasificao do dataset  https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+(Diagnostic) , usando Redes Neurais MULTILAYER PERCEPTRON, ",NULL,"Jupyter Notebook",0,0,0,0,1,NULL,NULL,172,0,0,2022
675482388,"-WBC_Machine-Learning-Project","Kosonora/-WBC_Machine-Learning-Project",141600437,"https://github.com/Kosonora/-WBC_Machine-Learning-Project","This is a Wisconsin breast cancer machine learning project",NULL,"Python",0,0,0,0,1,"gpl-3.0","GNU General Public License v3.0",92,0,0,2023
74697469,"2016-trump-shift","svmiller/2016-trump-shift",4589542,"https://github.com/svmiller/2016-trump-shift","Wisconsin county election results for 2012 and 2016.",NULL,"R",0,0,0,0,1,NULL,NULL,1546,0,0,2016
181192273,"2019-04-15-UW","munkm/2019-04-15-UW",6745434,"https://github.com/munkm/2019-04-15-UW","Invited talk, University of Wisconsin, Madison ",NULL,"JavaScript",0,0,0,13,1,"other","Other",1931,1,0,2019
309797616,"2020-11-17-uwm-online","tadamus/2020-11-17-uwm-online",8195123,"https://github.com/tadamus/2020-11-17-uwm-online","University of Wisconsin - Milwaukee Library Carpentry workshop taught virtually on November 17-18, 2020.","https://tadamus.github.io/2020-11-17-uwm-online/","HTML",0,0,1,0,1,"other","Other",10450,1,1,2020
342282569,"2021-Nutrient-diagnosis-of-cranberry-in-Quebec-and-Wisconsin","essicolo/2021-Nutrient-diagnosis-of-cranberry-in-Quebec-and-Wisconsin",5118227,"https://github.com/essicolo/2021-Nutrient-diagnosis-of-cranberry-in-Quebec-and-Wisconsin","Supplementary material for the manuscript",NULL,NULL,0,0,0,0,1,"cc-by-sa-4.0","Creative Commons Attribution Share Alike 4.0 International",2463,0,0,2021
358310329,"2021_cranberry-ionomics","essicolo/2021_cranberry-ionomics",5118227,"https://github.com/essicolo/2021_cranberry-ionomics","Orange canvas for Nutrient diagnosis of cranberry (Vaccinium macrocarpon Ait.) in Quebec and Wisconsin: impact of cultivars, local factors and carryover effects on plant nutrient status and yield prediction",NULL,NULL,0,0,0,0,1,"cc-by-4.0","Creative Commons Attribution 4.0 International",606,1,0,2021
460598147,"2022_AIE_Lab2","jdscifi/2022_AIE_Lab2",25080863,"https://github.com/jdscifi/2022_AIE_Lab2","Breast Cancer Wisconsin ML Training",NULL,"Jupyter Notebook",0,0,0,0,1,NULL,NULL,52,0,0,2022
627091840,"2023-04-18-utah-online","PhilReedData/2023-04-18-utah-online",25770348,"https://github.com/PhilReedData/2023-04-18-utah-online","Library Carpentry @ University of Utah and Advocate Health Wisconsin: April 18-20, 2023","https://philreeddata.github.io/2023-04-18-utah-online/","HTML",0,0,1,0,1,"other","Other",10897,1,1,2023
