"id","name","full_name","owner_id","html_url","description","homepage","language","stargazers_count","watchers_count","forks_count","open_issues_count","score","license_key","license_name"
155903349,"abhayk1201.github.io","abhayk1201/abhayk1201.github.io",17141362,"https://github.com/abhayk1201/abhayk1201.github.io","Personal homepage: http://pages.cs.wisc.edu/~abhayk/     OR                ","https://abhayk1201.github.io/","HTML",NULL,NULL,NULL,NULL,1,NULL,NULL
75680155,"AFROTC","spatchin/AFROTC",10857600,"https://github.com/spatchin/AFROTC","A redesign of afrotc.wisc.edu",NULL,"Ruby",NULL,NULL,NULL,NULL,1,NULL,NULL
63823029,"aisp.bus.wisc.edu","bjoberg/aisp.bus.wisc.edu",8784586,"https://github.com/bjoberg/aisp.bus.wisc.edu","Backup of AISP site","http://aisp.bus.wisc.edu/index.html","JavaScript",NULL,NULL,NULL,NULL,1,NULL,NULL
463365841,"Algorithms","KagurazakaTsuki/Algorithms",70134927,"https://github.com/KagurazakaTsuki/Algorithms","Algorithms I learned @ wisc.edu",NULL,"Kotlin",NULL,NULL,NULL,NULL,1,"mit","MIT License"
89813164,"AusterweilLab.github.io","AusterweilLab/AusterweilLab.github.io",13812808,"https://github.com/AusterweilLab/AusterweilLab.github.io","Lab Website. site files copied to wisc.edu","https://alab.psych.wisc.edu/","HTML",2,2,1,NULL,1,NULL,NULL
151598428,"bester-linux","TheHubUW/bester-linux",8999934,"https://github.com/TheHubUW/bester-linux","A better `best-linux.cs.wisc.edu`",NULL,"Python",NULL,NULL,1,2,1,NULL,NULL
34712118,"Boids-Simulation","HagaiF/Boids-Simulation",6240423,"https://github.com/HagaiF/Boids-Simulation","based on http://pages.cs.wisc.edu/~gleicher/Hacks/Boids/",NULL,"JavaScript",NULL,NULL,NULL,NULL,1,NULL,NULL
96641786,"bounding-box","wicoastalatlas/bounding-box",16308506,"https://github.com/wicoastalatlas/bounding-box","http://maps.aqua.wisc.edu/box/ or http://maps.aqua.wisc.edu/box/2.html",NULL,"JavaScript",NULL,NULL,NULL,NULL,1,NULL,NULL
303643106,"Breast-Cancer","Rohianon/Breast-Cancer",41194018,"https://github.com/Rohianon/Breast-Cancer","Data Description Features are computed from a digitized image of a fine needle aspirate (FNA) of a breast mass. They describe characteristics of the cell nuclei present in the image. n the 3-dimensional space is that described in: [K. P. Bennett and O. L. Mangasarian: ""Robust Linear Programming Discrimination of Two Linearly Inseparable Sets"", Optimization Methods and Software 1, 1992, 23-34].  This database is also available through the UW CS ftp server: ftp ftp.cs.wisc.edu cd math-prog/cpo-dataset/machine-learn/WDBC/  Also can be found on UCI Machine Learning Repository: https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29  Attribute Information:  1) ID number 2) Diagnosis (M = malignant, B = benign) 3-32)  Ten real-valued features are computed for each cell nucleus:  a) radius (mean of distances from center to points on the perimeter) b) texture (standard deviation of gray-scale values) c) perimeter d) area e) smoothness (local variation in radius lengths) f) compactness (perimeter^2 / area - 1.0) g) concavity (severity of concave portions of the contour) h) concave points (number of concave portions of the contour) i) symmetry j) fractal dimension (""coastline approximation"" - 1)  The mean, standard error and ""worst"" or largest (mean of the three largest values) of these features were computed for each image, resulting in 30 features. For instance, field 3 is Mean Radius, field 13 is Radius SE, field 23 is Worst Radius.  All feature values are recoded with four significant digits.  Missing attribute values: none  Class distribution: 357 benign, 212 malignant",NULL,"Jupyter Notebook",NULL,NULL,NULL,NULL,1,"mit","MIT License"
276894224,"Breast-Cancer-Classification-using-SVM","jaideep6214/Breast-Cancer-Classification-using-SVM",43785047,"https://github.com/jaideep6214/Breast-Cancer-Classification-using-SVM","Features are computed from a digitized image of a fine needle aspirate (FNA) of a breast mass. They describe characteristics of the cell nuclei present in the image. n the 3-dimensional space is that described in: [K. P. Bennett and O. L. Mangasarian: ""Robust Linear Programming Discrimination of Two Linearly Inseparable Sets"", Optimization Methods and Software 1, 1992, 23-34].  This database is also available through the UW CS ftp server: ftp ftp.cs.wisc.edu cd math-prog/cpo-dataset/machine-learn/WDBC/  Also can be found on UCI Machine Learning Repository: https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29  Attribute Information:  1) ID number 2) Diagnosis (M = malignant, B = benign) 3-32)  Ten real-valued features are computed for each cell nucleus:  a) radius (mean of distances from center to points on the perimeter) b) texture (standard deviation of gray-scale values) c) perimeter d) area e) smoothness (local variation in radius lengths) f) compactness (perimeter^2 / area - 1.0) g) concavity (severity of concave portions of the contour) h) concave points (number of concave portions of the contour) i) symmetry j) fractal dimension (""coastline approximation"" - 1)  The mean, standard error and ""worst"" or largest (mean of the three largest values) of these features were computed for each image, resulting in 30 features. For instance, field 3 is Mean Radius, field 13 is Radius SE, field 23 is Worst Radius.  All feature values are recoded with four significant digits.  Missing attribute values: none  Class distribution: 357 benign, 212 malignant",NULL,"Jupyter Notebook",NULL,NULL,1,NULL,1,NULL,NULL
